ID,WWEIA_FCID_Code_0510,C_COMMONUM,FCID_Desc,LETTER,CODEX
827,802148000,4267,Eggplant,VO,"AUBERGINE, SEE EGG PLANT"
829,802234000,4293,Okra,VO,"LADY`S FINGER, SEE OKRA"
830,802234000,442,Okra,VO,OKRA
834,802270000,445,"Pepper, bell",VO,"PEPPERS, SWEET (INCLUDING PIMENTO OR PIMIENTO)"
832,802270000,4299,"Pepper, bell",VO,"PAPRIKA, SEE PEPPERS, SWEET"
831,802270000,4269,"Pepper, bell",VO,"BELL PEPPER, SEE PEPPERS, SWEET"
833,802270000,4301,"Pepper, bell",VO,"PEPPERS, LONG, SEE PEPPERS, SWEET"
835,802270000,51,"Pepper, bell",VO,PEPPERS
836,802270001,51,"Pepper, bell-babyfood",VO,PEPPERS
837,802271000,445,"Pepper, bell, dried",VO,"PEPPERS, SWEET (INCLUDING PIMENTO OR PIMIENTO)"
838,802271001,445,"Pepper, bell, dried-babyfood",VO,"PEPPERS, SWEET (INCLUDING PIMENTO OR PIMIENTO)"
839,802272000,791,"Pepper, nonbell",HS,"PEPPER, LONG"
846,802272000,4303,"Pepper, nonbell",VO,"PIMENTO OR PIMIENTO, SEE PEPPERS, SWEET"
840,802272000,792,"Pepper, nonbell",HS,"PIMENTO, FRUIT"
845,802272000,4283,"Pepper, nonbell",VO,"CONE PEPPER, SEE PEPPERS, CHILI"
843,802272000,4277,"Pepper, nonbell",VO,"CHILI PEPPERS, SEE PEPPERS, CHILI"
842,802272000,4273,"Pepper, nonbell",VO,"CHERRY PEPPER, SEE PEPPERS, CHILI"
847,802272000,444,"Pepper, nonbell",VO,"PEPPERS, CHILI"
841,802272000,792,"Pepper, nonbell",HS,"PIMENTO, FRUIT"
844,802272000,4281,"Pepper, nonbell",VO,"CLUSTER PEPPER, SEE PEPPERS, CHILI"
848,802272001,444,"Pepper, nonbell-babyfood",VO,"PEPPERS, CHILI"
849,802273000,168,"Pepper, nonbell, dried",DV,DRY FRUIT
861,901075000,4223,Cantaloupe,VC,"MELON, NETTED, SEE SUBGROUP MELONS, EXCEPT WATERMELON"
860,901075000,4199,Cantaloupe,VC,"CANTALOUPE, SEE MELONS"
862,901187000,4219,Honeydew melon,VC,"MELON, HONEYDEW, SEE SUBGROUP MELONS, EXCEPT WATERMELON"
863,901399000,432,Watermelon,VC,WATERMELON
864,901400000,1,"Watermelon, juice",JF,CITRUS JUICE
869,902021000,421,Balsam pear,VL,BALSAM PEAR LEAVES
866,902021000,4195,Balsam pear,VC,"BITTER GOURD, SEE BALSAM PEAR"
868,902021000,421,Balsam pear,VC,BALSAM PEAR
870,902021000,4319,Balsam pear,VL,"BITTER CUCUMBER LEAVES, SEE BALSAM PEAR LEAVES"
865,902021000,4193,Balsam pear,VC,"BITTER CUCUMBER, SEE BALSAM PEAR"
867,902021000,4197,Balsam pear,VC,"BITTER MELON, SEE BALSAM PEAR"
871,902088000,4203,"Chayote, fruit",VC,"CHRISTOPHINE, SEE CHAYOTE"
872,902088000,423,"Chayote, fruit",VC,CHAYOTE
873,902102000,4225,Chinese waxgourd,VC,"MELON, ORIENTAL PICKLING, SEE SUBGROUP MELONS EXCEPT WATERME"
874,902135000,424,Cucumber,VC,CUCUMBER
876,902308000,429,Pumpkin,VC,PUMPKINS
875,902308000,4211,Pumpkin,VC,"CUSHAWS, SEE PUMPKINS"
877,902309000,429,"Pumpkin, seed",VC,PUMPKINS
880,902356000,4241,"Squash, summer",VC,"PATISSON, SEE SQUASH, WHITE BUSH"
882,902356000,4251,"Squash, summer",VC,"VEGETABLE SPAGHETTI, SEE PUMPKINS"
879,902356000,4213,"Squash, summer",VC,"MARROW, SEE SQUASH, SUMMER"
878,902356000,4207,"Squash, summer",VC,"COURGETTE, SEE SQUASH, SUMMER"
883,902356000,4261,"Squash, summer",VC,"ZUCCHETTI, SQUASH, SUMMER"
885,902356000,431,"Squash, summer",VC,"SQUASH,  SUMMER"
884,902356000,4263,"Squash, summer",VC,"ZUCCHINI, SEE SQUASH SUMMER"
881,902356000,4249,"Squash, summer",VC,"SQUASH, WHITE BUSH, SEE SQUASH, SUMMER"
886,902356001,431,"Squash, summer-babyfood",VC,"SQUASH,  SUMMER"
887,902357000,433,"Squash, winter",VC,"WINTER SQUASH, SEE ALSO PUMPKINS"
888,902357001,433,"Squash, winter-babyfood",VC,"WINTER SQUASH, SEE ALSO PUMPKINS"
1,1001106000,202,Citron,FC,"CITRON, SEE ALSO SUBGROUP 0002, LEMONS AND LIMES"
3,1001107000,4003,Citrus hybrids,FC,"CHIRONJA, SEE SUBGROUP ORANGES, SWEET, SOUR"
4,1001107000,4033,Citrus hybrids,FC,"TANGELOLO, SEE SUBGROUP 0005 SHADDOCKS OR POMELOS"
5,1001107000,4035,Citrus hybrids,FC,"TANGORS, SEE SUBGROUP 0003 MANDARINS"
2,1001107000,4,Citrus hybrids,FC,"ORANGES, SWEET, SOUR (INCLUDING ORANGE-LIKE HYBRIDS)"
6,1001108000,0,"Citrus, oil",--,
7,1001240000,208,Orange,FC,"ORANGE, SWEET, SEE ALSO SUBGROUP 0004 ORANGES, SWEET, SOUR"
8,1001241000,4,"Orange, juice",JF,ORANGE JUICE
9,1001241001,4,"Orange, juice-babyfood",JF,ORANGE JUICE
10,1001242000,208,"Orange, peel",FC,"ORANGE, SWEET, SEE ALSO SUBGROUP 0004 ORANGES, SWEET, SOUR"
15,1001369000,4007,Tangerine,FC,"DANCY OR DANCY MANDARIN, SEE SUBGROUP 0003 MANDARINS"
14,1001369000,4006,Tangerine,FC,"CLEOPATRA MANDARIN, SEE SUBGROUP 0003 MANDARINS"
13,1001369000,4005,Tangerine,FC,"CLEMENTINE, SEE MANDARIN"
12,1001369000,3,Tangerine,FC,MANDARINS (INCLUDING MANDARIN-LIKE HYBRIDS)
11,1001369000,206,Tangerine,FC,"MANDARIN, SEE ALSO SUBGROUP 0003 MANDARINS"
20,1001369000,4041,Tangerine,FC,"WILLOWLEAF MANDARIN, SEE MEDITERRANEAN MANDARIN"
19,1001369000,4037,Tangerine,FC,"TANKAN MANDARIN, SEE SUBGROUP 0003 MANDARINS"
18,1001369000,4027,Tangerine,FC,"TANGERINE, SEE SUBGROUP 0003 MANDARINS"
17,1001369000,4014,Tangerine,FC,"MEDITERRANEAN MANDARIN, SEE SUBGROUP 0003 MANDARINS"
16,1001369000,4008,Tangerine,FC,"KING MANDARIN, SEE SUBGROUP 0003 MANDARINS"
21,1001370000,175,"Tangerine, juice",JF,FRUIT JUICES
24,1002197000,4109,Kumquat,FT,"KUMQUAT, NAGAMI, SEE KUMQUATS"
23,1002197000,4107,Kumquat,FT,"KUMQUAT, MARUMI, SEE KUMQUATS"
22,1002197000,303,Kumquat,FT,KUMQUATS
25,1002199000,204,Lemon,FC,"LEMON, SEE ALSO SUBGROUP 0002 LEMONS AND LIMES"
26,1002200000,1,"Lemon, juice",JF,CITRUS JUICE
27,1002200001,1,"Lemon, juice-babyfood",JF,CITRUS JUICE
28,1002201000,204,"Lemon, peel",FC,"LEMON, SEE ALSO SUBGROUP 0002 LEMONS AND LIMES"
29,1002206000,205,Lime,FC,"LIME, SEE ALSO SUBGROUP 0002 LEMONS AND LIMES"
30,1002207000,1,"Lime, juice",JF,CITRUS JUICE
31,1002207001,1,"Lime, juice-babyfood",JF,CITRUS JUICE
32,1003180000,203,Grapefruit,FC,"GRAPEFRUIT, SEE ALSO SUBGROUP 0005 SHADDOCKS OR POMELOS"
33,1003181000,203,"Grapefruit, juice",JF,GRAPEFRUIT JUICE
38,1003307000,5,Pummelo,FC,SHADDOCKS OR POMELOS (INCLUDING SHADDOCK-LIKE HYBRIDS)
37,1003307000,4039,Pummelo,FC,"UGLI, SEE SUBGROUP 0005 SHADDOCKS OR POMELOS"
36,1003307000,4020,Pummelo,FC,"POMELO, SEE SHADDOCKS OR POMELOS"
35,1003307000,4018,Pummelo,FC,"NATSUDAIDAI, SEE SUBGROUP 0005 SHADDOCKS OR POMELOS"
34,1003307000,209,Pummelo,FC,"SHADDOCK, SEE ALSO SUBGROUP 0005 SHADDOCKS OR POMELOS"
91,1100007000,226,"Apple, fruit with peel",FP,APPLE
92,1100008000,226,"Apple, peeled fruit",FP,APPLE
93,1100008001,226,"Apple, peeled fruit-babyfood",FP,APPLE
94,1100009000,226,"Apple, dried",DF,"APPLES, DRIED"
95,1100009001,226,"Apple, dried-babyfood",DF,"APPLES, DRIED"
96,1100010000,226,"Apple, juice",JF,APPLE JUICE
97,1100010001,226,"Apple, juice-babyfood",JF,APPLE JUICE
98,1100011000,226,"Apple, sauce",FP,APPLE
99,1100011001,226,"Apple, sauce-babyfood",FP,APPLE
100,1100129000,227,Crabapple,FP,CRAB-APPLE
101,801173500,0,Goji berry,--,
103,1100210000,4044,Loquat,FP,"JAPANESE MEDLAR, SEE LOQUAT"
102,1100210000,228,Loquat,FP,LOQUAT
104,1100266000,230,Pear,FP,PEAR
105,1100266001,230,Pear-babyfood,FP,PEAR
106,1100267000,167,"Pear, dried",DF,DRIED FRUITS
107,1100268000,175,"Pear, juice",JF,FRUIT JUICES
108,1100268001,175,"Pear, juice-babyfood",JF,FRUIT JUICES
109,1100310000,231,Quince,FP,QUINCE
110,1201090000,13,Cherry,FS,CHERRIES
111,1201090001,175,Cherry-babyfood,FS,FRUIT JUICES
112,1201091000,175,"Cherry, juice",FS,FRUIT JUICES
113,1201091001,175,"Cherry, juice-babyfood",FS,FRUIT JUICES
115,1202012000,240,Apricot,FS,APRICOT
114,1202012000,240,Apricot,DF,"APRICOTS, DRIED"
116,1202012001,240,Apricot-babyfood,FS,APRICOT
117,1202013000,240,"Apricot, dried",DF,"APRICOTS, DRIED"
118,1202014000,175,"Apricot, juice",JF,FRUIT JUICES
119,1202014001,175,"Apricot, juice-babyfood",JF,FRUIT JUICES
120,1202230000,245,Nectarine,FS,NECTARINE
121,1202260000,247,Peach,FS,PEACH
122,1202260001,247,Peach-babyfood,FS,PEACH
123,1202261000,167,"Peach, dried",DF,DRIED FRUITS
124,1202261001,167,"Peach, dried-babyfood",DF,DRIED FRUITS
125,1202262000,175,"Peach, juice",JF,FRUIT JUICES
126,1202262001,175,"Peach, juice-babyfood",JF,FRUIT JUICES
127,1203285000,241,Plum,FS,BULLACE
130,1203285000,4061,Plum,FS,"PLUM, AMERICAN, SEE SLOE"
129,1203285000,4059,Plum,FS,"MYROBOLAN PLUM, SEE CHERRY PLUM"
