"EFSA_Food_Desc","FoodDB_Food_Name"
"Cooked cured (or seasoned) meat","Meat bouillon"
"Cooked pork ham","Angelica"
"Cooked other poultry meat","Other bread"
"Bacon","Angelica"
"Cured seasoned pork meat","Meat bouillon"
"Ham, pork","Angelica"
"Tiroler speck","Angelica"
"Raw cured (or seasoned) meat","Meat bouillon"
"Fresh bratwurst","Angelica"
"Cured ripened raw sausages","Angelica"
"Snack sausages (like Cabanos and landjäger)","Other snack food"
"Salami-type sausage","Sausage"
"Cured unripened raw sausages","Angelica"
"Mettwurst-type sausage","Sausage"
"Frankfurt-type sausage","Sausage"
"Wiener sausage","Sausage"
"Knackwurst-type sausage","Sausage"
"Preserved or partly preserved sausages","Unclassified food or beverage"
"Blood-type sausage","Sausage"
"Mortadella-type sausage","Sausage"
"Polish-type cooked sausage","Sausage"
"Sausages","Angelica"
"Cheese, feta","Greek feta cheese"
"Cheese, chevre frais","Cheese"
"Cottage cheese","Cottage cheese"
"Cream cheese","Cream"
"Fresh uncured cheese","Cheese"
"Mozzarella","Mozzarella cheese"
"Quark","Angelica"
"Processed cheese and spreads","Processed cheese"
"Processed cheese, sliceable","Processed cheese"
"Processed cheese, spreadable","Processed cheese"
"Cheese, parmigiano reggiano","Cheese"
"Firm-ripened blue mould-veined cheese","Blue cheese"
"Cheese, butterkase","Cheese"
"Cheese, edam","Cheese"
"Cheese, gouda","Cheese"
"Cheese, raclette","Cheese"
"Cheese, tilsit","Cheese"
"Firm/semi-hard cheese (gouda and edam type)","Hard wheat"
"Cheese, emmental","Cheese"
"Hard cheese (cheddar, emmental type)","Cheddar Cheese"
"Cheese, brie","Cheese"
"Cheese, camembert","Cheese"
"Custard","Sweet custard"
"Dairy desserts spoonable","Angelica"
"Starchy pudding","Pudding"
"Dairy ice creams and similar","Ice cream"
"Ice cream, milk-based","Ice cream"
"Probiotic milk-like drinks","Milk and milk products"
"Kefir","Kefir"
"Traditional sour milk products","Milk and milk products"
"Yoghurt","Angelica"
"Yoghurt, cow milk, flavoured","Milk (Cow)"
"Yoghurt, sheep milk, plain","Milk and milk products"
"Yoghurt drinks, including sweetened and/or flavoured variants","Fats and oils"
"Créme fraiche and other mild variants of sour cream","Sour cream"
"Flavoured sour cream","Sour cream"
"Sour cream, plain","Sour cream"
"Milk powder, full fat","Milk and milk products"
"Buttermilk","Buttermilk"
"Cream, plain","Plain cream cheese"
"Cow milk, semi skimmed (half fat)","Milk (Cow)"
"Cow milk, skimmed (low fat)","Milk (Cow)"
"Cow milk, whole","Milk (Cow)"
"Flavoured milks","Angelica"
"Goat milk","Domestic goat"
"Flavoured whey","Whey"
"Dairy imitates other than milks","Other bread"
"Soya yoghurt","Angelica"
"Tofu","Tofu"
"Soya drink","Soft drink"
"Fermented soyabean-based meat imitates","Other fermented milk"
"Relishes","Angelica"
"Salad dressing","Salad dressing"
"Barbecue or steak sauces","Unclassified food or beverage"
"Continental european brown cooked sauce, gravy","Sauce"
"Curry sauce","Curry powder"
"Herbs, vegetables and oil sauces","Herbs and Spices"
"Pesto","Angelica"
"Tabasco sauce","Sauce"
"Hollandaise type sauce","Sauce"
"Mayonnaise sauce","Sauce"
"Mayonnaise, low fat","Other animal fat"
"Tartar sauce","Sauce"
"Mustard and related sauces","Mustard"
"Mustard, mild","Mustard"
"Mustard, sweet","Mustard"
"Soy sauce","Soy sauce"
"Savoury sauces","Angelica"
"Tomato ketchup and related sauces","Ketchup"
"Tomato-containing cooked sauces","Cherry tomato"
"Mushrooms cooked sauce","Mushrooms"
"Vegetables-based cooked sauce","Sauce"
"Butter sauce","Butter"
"Cream sauce","Sauce"
"Balsamic vinegar and similar","Vinegar"
"Vinegar","Vinegar"
"Vinegar, apple","Vinegar"
"Chocolate sauce","Sauce"
"Dessert sauces/toppings","Dessert wine"
"Fruit sauce","Sauce"
"Fudge sauce","Fudge"
"Stock cubes or granulate (bouillon base)","Meat bouillon"
"Salt, iodised","Salt"
"Potatoes","Angelica"
"Maples (trunk sap)","Angelica"
"Caramel, soft","Soft drink"
"Hard candies","Hard wheat"
"Chewing gum","Chewing gum"
"Gum drops","Fruit gum"
"Jelly candies","Angelica"
"Liquorice candies","Liquorice"
"Chocolate and chocolate products","Chocolate"
"Bitter chocolate","Chocolate"
"Chocolate and similar","Chocolate"
"Milk chocolate","Chocolate"
"Chocolate coated confectionery","Chocolate"
"Chocolate spread","Chocolate spread"
"Filled chocolate","Chocolate"
"Pralines","Angelica"
"Caramel, hard","Hard wheat"
"Marzipan","Marzipan"
"Sweet bars and other formed sweet masses","Sweet potato"
"Honey","Honey"
"Glucose","Angelica"
"Brown sugar","Sugar"
"Flavoured sugar","Sugar"
"White sugar","Sugar"
"Syrups","Angelica"
"Table-top sweeteners formulations","Angelica"
"Water-based ice creams","Water"
"Garlic","Garlic"
"Onions and similar-","Fats and oils"
"Spring onions","Angelica"
"Broccoli","Broccoli"
"Cauliflowers","Angelica"
"Courgettes","Angelica"
"Cucumbers","Angelica"
"Gherkins","Angelica"
"Melons","Angelica"
"Pumpkins","Angelica"
"Watermelons","Angelica"
"Aubergines","Angelica"
"Sweet peppers","Sweet potato"
"Tomatoes","Angelica"
"Tomatoes and similar-","Fats and oils"
"Sweet corn","Corn"
"Common mushrooms","Mushrooms"
"Chanterelles","Angelica"
"Basil","Sweet basil"
"Coriander leaves","Coriander"
"Dill leaves","Dill"
"Chives","Chives"
"Parsley","Parsley"
"Rosemary","Rosemary"
"Oregano","Common oregano"
"Thyme","Common thyme"
"Brussels sprouts","Brussel sprouts"
"Head cabbages","Angelica"
"Red cabbages","Red rice"
"White cabbage","White cabbage"
"Chinese cabbages and similar-","Chinese mustard"
"Escaroles and similar-","Fats and oils"
"Radicchio","Angelica"
"Lamb's lettuces","Sheep (Mutton, Lamb)"
"Crisp lettuces","Crisp bread"
"Lettuces (generic)","Angelica"
"Roman rocket","Rocket salad"
"Spinaches","Angelica"
"Watercresses","Angelica"
"Beans (with pods) and similar-","Baked beans"
"French beans (with pods)","French plantain"
"Slicing bean (young pods)","Bean"
"Sweet corn canned","Corn"
"Fermented or pickled vegetables","Other fermented milk"
"Sauerkraut","Angelica"
"Pickled / marinated vegetables","Green vegetables"
"Preserved tomato, whole or pieces","Whole wheat bread"
"Tomato puree","Cherry tomato"
"Sun-dried tomatoes","Dried milk"
"Beetroots","Angelica"
"Carrots","Angelica"
"Celeriacs","Angelica"
"Horseradish roots","Horseradish"
"Jerusalem artichokes","Jerusalem artichoke"
"Parsley roots","Parsley"
"Radishes and similar-","Fats and oils"
"Root and tuber vegetables (excluding starchy- and sugar-)","Root vegetables"
"Soyabeans sprouts","Brussel sprouts"
"Asparagus","Asparagus"
"Celeries","Angelica"
"Globe artichokes","Globe artichoke"
"Kohlrabies","Angelica"
"Leeks","Angelica"
"Vegetables and vegetable products","Vegetable juice"
"Flavoured bottled water","Water"
"Carbonated natural mineral water","Water"
"Natural mineral water","Water"
"Still natural mineral water","Water"
"Tap water","Water"
"Energy drinks","Energy drink"
"Isotonic and sport drinks","Fats and oils"
"Diet soft drink with caffeine","Soft drink"
"Cola-type drinks","Angelica"
"Soft drinks","Soft drink"
"Soft drink with bitter principle","Soft drink"
"Soft drink, flavoured with herbs","Soft drink"
"Soft drink, lemon flavour","Soft drink"
"Soft drink, mixed flavours","Soft drink"
"Soft drink, orange flavour","Soft drink"
"Soft drink, raspberry flavour","Red raspberry"
"Fruit soft drink, mixed fruit","Soft drink"
"Fruit soft drink, orange","Soft drink"
"Beer","Beer"
"Beer, alcohol-free","Beer"
"Mixed beer drinks","Beer"
"Punch","Angelica"
"Herb liqueur","Angelica"
"Brandy","Angelica"
"Vodka and vodka-like spirits","Vodka"
"Gin","Gin"
"Sparkling wine","White wine"
"Wine","White wine"
"Wine, red","Red wine"
"Cider","Apple cider"
"Pork lard","Lard"
"Olive oils","Olive"
"Peanut oil, edible","Peanut oil"
"Pumpkin seed oil","Japanese pumpkin"
"Rape seed oil, edible","Rape"
"Sunflower seed oil, edible","Sunflower oil"
"Vegetable fats and oils, edible","Fats and oils"
"Butter","Butter"
"Traditional margarine","Margarine"
"Coffee (average strength) beverage","Coffee"
"Coffee beverage decaffeinated","Coffee"
"Fruit infusion","Fruit juice"
"Herbal and other non-tea infusions","Herbal tea"
"Rooibos infusion","Angelica"
"Fermented tea infusion","Tea"
"Non-fermented tea, infusion","Tea"
"Tea beverages","Beverages"
"Cocoa powder","Cocoa powder"
"Egg based dishes","Egg roll"
"Legumes based dishes","Angelica"
"Goulash","Angelica"
"Meat balls","Meat bouillon"
"Meat based dishes","Meat bouillon"
"Meat in aspic","Meat bouillon"
"Meat loaf","Meat bouillon"
"Fries (finger chips)","Angelica"
"Pan-fried potato","Potato"
"Potato puree","Potato"
"Potatoes and meat meal","Meat bouillon"
"Prepared potato salad","Salad"
"Roesti","Angelica"
"Mixed vegetables, boiled","Green vegetables"
"Pasta based dishes, cooked","Pasta"
"Pasta, filled, cooked","Pasta"
"Lasagna","Lasagna"
"Pasta, cooked, with cheese/cream","Pasta"
"Pasta, cooked, with mixed sauce","Pasta"
"Pasta, cooked, with vegetables","Pasta"
"Rice and meat meal","Rice"
"Rice and vegetables meal","Rice"
"Pizza and pizza-like dishes","Pizza"
"Pizza and similar with cheese, and mushrooms","Pizza"
"Pizza and similar with cheese, and vegetables","Pizza"
"Pizza and similar with cheese, meat, and vegetables","Pizza"
"Hamburger with bread","Hamburger"
"Cheese savoury pie","Pie"
"Savoury pies and tarts","Fats and oils"
"Potato crisps or sticks","Potato"
"Fruit salad","Fruit salad"
"Mixed vegetable salad","Salad"
"Prepared legume (beans) salad","Salad"
"Prepared meat salad","Salad"
"Cereal products and grains based soup","Cereals and cereal products"
"Corn semolina based thick soup","Semolina"
"Legume (beans) soup","Soup"
"Meat soup","Soup"
"Meat soup, clear","Soup"
"Mixed soups","Mixed nuts"
"Mixed vegetables soup","Soup"
"Mixed vegetables soup, with puree or pieces","Soup"
"Soups (ready-to-eat)","Angelica"
"Other desserts spoonable","Other bread"
"Boiled eggs","Eggs"
"Fried eggs","Eggs"
"Freshwater shrimps or prawns","Freshwater eel"
"Trouts","Angelica"
"Fish (meat)","Fish oil"
"Plaice","Pleuronectidae (Dab, Halibut, Plaice)"
"Herrings","Angelica"
"Miscellaneous pelagic marine fishes","Fishes"
"Tuna","Albacore tuna"
"Smoked salmon","Atlantic salmon"
"Blueberries","Angelica"
"Blackberries","Angelica"
"Raspberries (red and yellow)","Red rice"
"Blackcurrants","Angelica"
"Wine grapes","White wine"
"Strawberries","Angelica"
"Lemons","Angelica"
"Limes","Angelica"
"Clementines","Angelica"
"Mandarins","Angelica"
"Oranges and similar-","Fats and oils"
"Fruit used as fruit","Fruit juice"
"Figs","Angelica"
"Common banana","Banana"
"Granate apples","Angelica"
"Pineapples","Angelica"
"Kiwi fruits (green, red, yellow)","Kiwi"
"Apples","Angelica"
"Pears","Angelica"
"Cherries and similar-","Fats and oils"
"Peaches and similar-","Fats and oils"
"Plums","Angelica"
"Dried figs","Dried milk"
"Dried prunes","Dried milk"
"Dried vine fruits (raisins etc.)","Fruits"
"Fruit compote, apple","Apple"
"Fruit compote, apricot","Apricot"
"Fruit compote, mixed fruit","Fruit juice"
"Fruit compote, peach","Peach"
"Fruit compote, pear","Pear"
"Jam of fruit / vegetables","Green vegetables"
"Jam, apricots","Angelica"
"Jam, currants (red)","Red rice"
"Jam, lingonberry","Lingonberry"
"Jam, peaches","Angelica"
"Jam, plums","Angelica"
"Jam, raspberries","Angelica"
"Jam, sour cherry","Sour cherry"
"Jam, strawberries","Angelica"
"Table olives ready for consumption","Angelica"
"Fruit or fruit-vegetable puree","Fruit juice"
"Fruit juice concentrates","Fruit juice"
"Fruit juices (100% from named source)","Fruit juice"
"Juice, apple","Apple"
"Juice, grapefruit","Grapefruit"
"Juice, lime","Lime"
"Juice, orange","Sweet orange"
"Juice, red currant","Red grape juice"
"Multivitamin juices","Angelica"
"Bread and similar products","Cereals and cereal products"
"Crackers and breadsticks","Fats and oils"
"Wheat crisp bread","Crisp bread"
"Puffed rice textured bread","Rice bread"
"Bread and rolls with special ingredients added","Wheat bread"
"Rye-wheat bread and rolls, wholemeal","Rye bread"
"Multigrain bread and rolls","Multigrain bread"
"Pretzels","Angelica"
"Rye bread and rolls, wholemeal","Rye bread"
"Single grain bread and rolls","Wheat bread"
"Wheat bread and rolls, brown or wholemeal","Wheat bread"
"Wheat bread and rolls, white (refined flour)","White bread"
"Rusk","Angelica"
"Cereal bars","Breakfast cereal"
"Mixed breakfast cereals","Breakfast cereal"
"Muesli and similar mixed breakfast cereals","Breakfast cereal"
"Processed maize-based flakes","Processed cheese"
"Oat high-bran flakes","Oat"
"Oat bran","Oat"
"Wheat bran","Wheat"
"Rice grain, polished","Rice"
"Biscuit with inclusions, filling or coating","Biscuit"
"Wafers","Angelica"
"Biscuits, chocolate","Chocolate"
"Biscuits, oat meal","Oat"
"Biscuits, sweet, plain","Plain cream cheese"
"Butter biscuits","Butter"
"Cakes","Angelica"
"Cake marbled, with chocolate","Cake"
"Chocolate cake","Cake"
"Chocolate cake with fruits","Fruits"
"Cheese cake","Cake"
"Cream custard cake","Sweet custard"
"Nut cream cake","Cake"
"Fruit cake","Cake"
"Sponge cake","Cake"
"Sponge cake roll","Egg roll"
"Fine bakery wares","Angelica"
"Apple strudel","Apple"
"Cream-cheese strudel","Cream"
"Pastry based on laminated dough","Dough"
"Fruit pie-tarts","Pie"
"Dumpling, sweet","Dumpling"
"Macaroons","Angelica"
"Pancakes","Angelica"
"Lebkuchen","Angelica"
"Various pastry","Pastry"
"Waffles","Angelica"
"Brioche type products","Cereals and cereal products"
"Buns","Angelica"
"Croissant","Angelica"
"Doughnuts-berliner","Angelica"
"Yeast leavened pastry","Pastry"
"Pasta-like products","Pasta"
"Pasta, plain (not stuffed), uncooked","Pasta"
"Peas (without pods) and similar-","Fats and oils"
"Linseeds","Angelica"
"Pumpkin seeds","Japanese pumpkin"
"Soyabeans for oil","Fish oil"
"Sunflower seeds","Sunflower"
"Almonds sweet","Sweet potato"
"Hazelnuts","Angelica"
"Tree nuts","Nuts"
"Walnuts","Angelica"
"Black pepper","Pepper"
"Gelatine","Angelica"
"Isolated proteins and other protein products","Cereals and cereal products"
"Bovine edible offal, non-muscle, other than liver and kidney","Other bread"
"Bovine liver","Angelica"
"Chicken liver","Chicken"
"Chicken fresh meat","Chicken"
"Turkey fresh meat","Turkey"
"Bovine and pig fresh meat","Domestic pig"
"Bovine fresh meat","Meat bouillon"
"Calf fresh meat","Meat bouillon"
"Cow, ox or bull fresh meat","Milk (Cow)"
"Hare fresh meat","Mountain hare"
"Mammals meat","Milk (Other mammals)"
"Pig fresh meat","Domestic pig"
"Lamb fresh meat","Sheep (Mutton, Lamb)"
"Liver based spreadable-textured specialities","Angelica"
"Cooked pork ham","Angelica"
"Bacon","Angelica"
"Tiroler speck","Angelica"
"Raw cured (or seasoned) meat","Meat bouillon"
"Fresh bratwurst","Angelica"
"Snack sausages (like Cabanos and landjäger)","Other snack food"
"Salami-type sausage","Sausage"
"Mettwurst-type sausage","Sausage"
"Frankfurt-type sausage","Sausage"
"Wiener sausage","Sausage"
"Knackwurst-type sausage","Sausage"
